transaction_id,customer_id,timestamp,amount,channel,merchant_category,bank,location,age_group,hour,day_of_week,month,is_weekend,is_peak_hour,tx_count_24h,amount_sum_24h,amount_mean_7d,amount_std_7d,tx_count_total,amount_mean_total,amount_std_total,channel_diversity,location_diversity,amount_vs_mean_ratio,online_channel_ratio,is_fraud,fraud_technique,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,amount_log,amount_rounded,velocity_score,merchant_risk_score,composite_risk
TXN_F08A86FFD87C,CUST_0002AED1,2023-01-14 04:31:09,32266.83,Mobile,Grocery,Sterling,Other,30-39,4,5,1,True,False,1.0,32266.83,32266.83,0.0,107,170389.86869158878,365915.9002705364,5,1,0.1893694788210961,0.7757009345794392,0,,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,10.381826037665649,0,0.1893694788210961,0.2149998647596221,0.0705597827501617
TXN_C2D08134EC83,CUST_0002AED1,2023-01-17 11:20:13,72530.49,Web,Entertainment,UBA,Other,30-39,11,1,1,False,True,1.0,72530.49,52398.66,20131.83,107,170389.86869158878,365915.9002705364,5,1,0.42567122614582,0.7757009345794392,0,,0.258819045102521,-0.9659258262890682,0.7818314824680297,0.6234898018587336,0.4999999999999999,0.8660254037844387,11.191776091369944,0,0.42567122614582,0.877424404484337,0.2768488005819673
TXN_B9499111901D,CUST_0002AED1,2023-01-22 02:17:46,168152.87,Mobile,Transport,Wema,Other,30-39,2,6,1,True,False,1.0,168152.87,120341.68,47811.19,107,170389.86869158878,365915.9002705364,5,1,0.9868655010167264,0.7757009345794392,0,,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,12.0326347320686,0,0.9868655010167264,0.4402304319088622,0.1636488256051939
TXN_48DB1D526A3B,CUST_0002AED1,2023-01-24 08:18:23,16439.93,Mobile,Entertainment,FCMB,Other,30-39,8,1,1,False,False,1.0,16439.93,85707.76333333332,62633.50775336864,107,170389.86869158878,365915.9002705364,5,1,0.0964836327570853,0.7757009345794392,0,,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0.4999999999999999,0.8660254037844387,9.70752923635325,0,0.0964836327570853,0.877424404484337,0.2663147975935278
TXN_56DB1E28B758,CUST_0002AED1,2023-02-01 15:39:53,9922.68,POS,Education,FirstBank,Other,30-39,15,2,2,False,True,1.0,9922.68,9922.68,0.0,107,170389.86869158878,365915.9002705364,5,1,0.0582348107982257,0.7757009345794392,0,,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,9.202679099229334,0,0.0582348107982257,0.2312907258252427,0.071250731693116
TXN_8CB46D78CEED,CUST_0002AED1,2023-02-08 16:27:19,80685.56,Web,Restaurant,GTBank,Other,30-39,16,2,2,False,True,1.0,80685.56,80685.56,0.0,107,170389.86869158878,365915.9002705364,5,1,0.4735321829131738,0.7757009345794392,0,,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,11.298327297637329,0,0.4735321829131738,0.6084928306518973,0.1977008790487907
TXN_5F6224E4DA4E,CUST_0002AED1,2023-02-15 13:05:34,29276.78,Web,Electronics,Wema,Other,30-39,13,2,2,False,False,1.0,29276.78,54981.17,25704.39,107,170389.86869158878,365915.9002705364,5,1,0.1718212966740114,0.7757009345794392,0,,-0.2588190451025208,-0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,10.28458414552866,0,0.1718212966740114,0.3695883220072287,0.116374778095737
TXN_8375B147ADE5,CUST_0002AED1,2023-02-15 16:51:09,135669.83,Mobile,Airtime,Fidelity,Other,30-39,16,2,2,False,True,2.0,164946.61,82473.305,53196.525,107,170389.86869158878,365915.9002705364,5,1,0.7962271161699713,0.7757009345794392,0,,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,11.817986863246444,0,1.9360968256879652,0.4903946021797059,0.1748773877903868
TXN_EC83B575948F,CUST_0002AED1,2023-02-16 10:52:22,24629.69,Mobile,Transport,Fidelity,Other,30-39,10,3,2,False,True,3.0,189576.3,63192.1,51284.597238233226,107,170389.86869158878,365915.9002705364,5,1,0.1445481802465616,0.7757009345794392,0,,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,10.111748505338504,0,3.337789779271633,0.4402304319088622,0.1430811545385987
TXN_587A7A626F59,CUST_0002AED1,2023-02-20 19:48:06,211626.2,IB,Education,Sterling,Other,30-39,19,0,2,False,False,1.0,211626.2,100300.625,78126.2460280969,107,170389.86869158878,365915.9002705364,5,1,1.2420043493237192,0.7757009345794392,0,,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.8660254037844386,0.5000000000000001,12.262581515128597,0,1.2420043493237192,0.2312907258252427,0.1091313569259318
